Product Name,Ad Type,Campaign Id,Ad Group Id,Campaign Name,Ad Group Name,Default Bid,Ad Group Type,ASIN,SKU,Total Cost,Pick Pack Fee,AMZ Price,Referral Fee,BE ROAS,BE ACOS,Organic Target,Sponsored Target,DP CVR,Percentage
Dishwasher Cleaner,Sponsored Products,112328707270039,101223766827710,Dishwasher Cleaner - SP - KW - Comp,Dishwasher Cleaner - SP - KW - Comp - KW Exact,0.75,KW Exact,B09MV5B75Y,active-dishwasher-24,2.44,3.22,15.95,2.39,2.02,0.5,1.0,1.0,0.398,5.5
Dishwasher Cleaner,Sponsored Products,276969715496049,132802524754661,Dishwasher Cleaner - SP - KW - Main,Dishwasher Cleaner - SP - KW - Main - KW Exact,0.75,KW Exact,B09MV5B75Y,active-dishwasher-24,2.44,3.22,15.95,2.39,2.02,0.5,1.0,1.0,0.398,6.0
Dishwasher Cleaner,Sponsored Products,276969715496049,100181686754149,Dishwasher Cleaner - SP - KW - Main,Dishwasher Cleaner - SP - KW - Main - KW Broad,0.75,KW Broad,B09MV5B75Y,active-dishwasher-24,2.44,3.22,15.95,2.39,2.02,0.5,1.0,1.0,0.398,6.0
Dishwasher Cleaner,Sponsored Products,132860770378064,143622455976249,Dishwasher Cleaner - SP - KW - Washer Branded,Dishwasher Cleaner - SP - KW - Washer Branded - KW Broad,0.75,KW Broad,B09MV5B75Y,active-dishwasher-24,2.44,3.22,15.95,2.39,2.02,0.5,1.0,1.0,0.398,5.5
Dishwasher Cleaner,Sponsored Products,132860770378064,44671174993175,Dishwasher Cleaner - SP - KW - Washer Branded,Dishwasher Cleaner - SP - KW - Washer Branded - KW Exact,0.75,KW Exact,B09MV5B75Y,active-dishwasher-24,2.44,3.22,15.95,2.39,2.02,0.5,1.0,1.0,0.398,5.5
Dishwasher Cleaner,Sponsored Products,142474877666599,209865142318171,Dishwasher Cleaner - SP - Prod - Comp,Dishwasher Cleaner - SP - Prod - Comp - Direct,0.75,ASIN Comp,B09MV5B75Y,active-dishwasher-24,2.44,3.22,15.95,2.39,2.02,0.5,1.0,1.0,0.398,6.0
Dishwasher Cleaner,Sponsored Products,276919254636680,220229539172820,Dishwasher Cleaner - SP - Prod - Defense - ASIN Def,Dishwasher Cleaner - SP - Prod - Defense - ASIN Def,0.75,ASIN Def,B09MV5B75Y,active-dishwasher-24,2.44,3.22,15.95,2.39,2.02,0.5,1.0,1.0,0.398,10.0
Exp Steamer Basket,Sponsored Brands,251108771516425,,Exp Steamer Basket - SBV - KW - Main Video - KW Broad,,,KW Broad,B08D75LFT5,ie-exp-basket-1,3.35,4.75,12.95,1.94,4.45,0.22,1.0,2.0,,1.0
Exp Steamer Basket,Sponsored Brands,19639266398162,,Exp Steamer Basket - SBV - KW - Main Video - KW Exact,,,KW Exact,B08D75LFT5,ie-exp-basket-1,3.35,4.75,12.95,1.94,4.45,0.22,1.0,2.0,,1.0
Exp Steamer Basket,Sponsored Brands,43386603441468,,Exp Steamer Basket - SBV - Prod - ASIN Comp - Direct Competitors(1),,,ASIN Comp,B08D75LFT5,ie-exp-basket-1,3.35,4.75,12.95,1.94,4.45,0.22,1.0,2.0,,1.0
Exp Steamer Basket,Sponsored Products,130871364696432,85441792984178,Exp Steamer Basket - SP - Auto - TOS,Exp Steamer Basket - SP - Auto - TOS,0.25,AUTO,B08D75LFT5,ie-exp-basket-1,3.35,4.75,12.95,1.94,4.45,0.22,1.0,2.0,,6.5
Exp Steamer Basket,Sponsored Products,36695670903964,30399461123769,Exp Steamer Basket - SP - KW - Main,Exp Steamer Basket - SP - KW - Main - KW Broad,0.25,KW Broad,B08D75LFT5,ie-exp-basket-1,3.35,4.75,12.95,1.94,4.45,0.22,1.0,2.0,,4.25
Exp Steamer Basket,Sponsored Products,36695670903964,50094147282413,Exp Steamer Basket - SP - KW - Main,Exp Steamer Basket - SP - KW - Main - KW Exact,0.35,KW Exact,B08D75LFT5,ie-exp-basket-1,3.35,4.75,12.95,1.94,4.45,0.22,1.0,2.0,,4.25
Exp Steamer Basket,Sponsored Products,74875109928037,177817194140292,Exp Steamer Basket - SP - Prod - Comp,Exp Steamer Basket - SP - Prod - Comp - ASIN Comp - Direct,0.23,ASIN Comp,B08D75LFT5,ie-exp-basket-1,3.35,4.75,12.95,1.94,4.45,0.22,1.0,2.0,,5.0
Floating Shelves,Sponsored Brands,41426775987358,,Floating Shelves - SBV - KW - Main Video - KW Exact,,,KW Exact,B08DPXTM3C,sm-float-shelf-2,25.04,8.64,59.95,8.99,3.47,0.29,1.0,2.0,,1.0
Floating Shelves,Sponsored Products,7428651185344,271290994430253,Floating Shelves - SP - KW - Main,Floating Shelves - SP - KW - Main - KW Exact,0.3,KW Exact,B08DPXTM3C,sm-float-shelf-2,25.04,8.64,59.95,8.99,3.47,0.29,1.0,2.0,,5.5
Floating Shelves,Sponsored Products,7428651185344,20946244169079,Floating Shelves - SP - KW - Main,Floating Shelves - SP - KW - Main - KW Broad,0.17,KW Broad,B08DPXTM3C,sm-float-shelf-2,25.04,8.64,59.95,8.99,3.47,0.29,1.0,2.0,,5.5
Dontcare,Sponsored Products,34645073504780,250478947178358,Foam Hands - Auto,Foam Hands - Auto,0.55,Dontcare,,,,,,,,,,,,1.0
Dontcare,Sponsored Products,195644137150358,252506815128864,Foam Hands - Targeted,Foam Hands - Broad,0.75,Dontcare,,,,,,,,,,,,1.0
Dontcare,Sponsored Products,195644137150358,148713071246750,Foam Hands - Targeted,Foam Hands - Green,1.15,Dontcare,,,,,,,,,,,,1.0
Dontcare,Sponsored Products,195644137150358,166994680063121,Foam Hands - Targeted,Foam Hand - Red,1.15,Dontcare,,,,,,,,,,,,1.0
Dontcare,Sponsored Products,195644137150358,212017144371169,Foam Hands - Targeted,Foam Hand - Blue,1.15,Dontcare,,,,,,,,,,,,1.0
Dontcare,Sponsored Products,195644137150358,78503562961300,Foam Hands - Targeted,Foam Hands - Black,1.15,Dontcare,,,,,,,,,,,,1.0
Dontcare,Sponsored Products,195644137150358,10743669916748,Foam Hands - Targeted,Foam Hands - Yellow,1.15,Dontcare,,,,,,,,,,,,1.0
Dontcare,Sponsored Products,195644137150358,100068455505092,Foam Hands - Targeted,Foam Hand - Exact,1.25,Dontcare,,,,,,,,,,,,1.0
Foodi Lid Stand,Sponsored Products,146116764481826,59010765991514,Foodi Lid Stand - SP - KW - Main,Foodi Lid Stand - SP - KW - Main - KW Exact - Main Set,0.5,KW Exact,B08D75D3W4,ni-lid-stand-1,3.23,3.72,9.95,1.49,6.6,0.15,1.0,2.0,,4.5
Foodi Lid Stand,Sponsored Products,146116764481826,278598077976322,Foodi Lid Stand - SP - KW - Main,Foodi Lid Stand - SP - KW - Main - KW Exact - Foodi Accessory Terms,0.03,KW Exact,B08D75D3W4,ni-lid-stand-1,3.23,3.72,9.95,1.49,6.6,0.15,1.0,2.0,,4.5
Foodi Lid Stand,Sponsored Products,146116764481826,54690987326485,Foodi Lid Stand - SP - KW - Main,Foodi Lid Stand - SP - KW - Main - KW Broad,0.3,KW Broad,B08D75D3W4,ni-lid-stand-1,3.23,3.72,9.95,1.49,6.6,0.15,1.0,2.0,,4.5
Foodi Lid Stand,Sponsored Products,263856525820743,171737278816127,Foodi Lid Stand - SP - Prod - Comp,Foodi Lid Stand - SP - Prod - Comp - ASIN Comp - Direct,0.25,ASIN Comp,B08D75D3W4,ni-lid-stand-1,3.23,3.72,9.95,1.49,6.6,0.15,1.0,2.0,,4.0
Foodi Lid Stand,Sponsored Products,248084101130234,246580392903953,Foodi Lid Stand - SP - Prod - Ninja Foodi,Foodi Lid Stand - SP - Prod - Ninja Foodi - ASIN Anc - Foodi Pressure Cookers,0.11,ASIN Anc,B08D75D3W4,ni-lid-stand-1,3.23,3.72,9.95,1.49,6.6,0.15,1.0,2.0,,1.15
InstaExtras Store,Sponsored Brands,144319957787416000,,InstaExtras - SB - KW - Store Spotlight - KW Exact - General IP Terms,,,KW Exact,,,,,,,3.5,0.29,,,,1.0
IP Lids 6 QT,Sponsored Products,145961473494014,215165376297496,IP Lids 6 QT - ASIN - Instant Pots,IP Lids 6 QT - ASIN - Instant Pots,0.25,ASIN Comp,B07CNHQVGN,ie-sili-lid-sf-6,3.48,3.22,13.99,2.1,2.7,0.37,1.0,2.0,,5.0
IP Lids 6 QT,Sponsored Brands,116830961291037,,IP Lids 6 QT - SBV - KW - Main Video - KW Broad,,,KW Broad,B07CNHQVGN,ie-sili-lid-sf-6,3.48,3.22,13.99,2.1,2.7,0.37,1.0,2.0,,1.0
IP Lids 6 QT,Sponsored Brands,175313612073040,,IP Lids 6 QT - SBV - KW - Main Video - KW Exact,,,KW Exact,B07CNHQVGN,ie-sili-lid-sf-6,3.48,3.22,13.99,2.1,2.7,0.37,1.0,2.0,,1.0
